step,DQN (exp_frac=0.5) - _step,DQN (exp_frac=0.5) - _step__MIN,DQN (exp_frac=0.5) - _step__MAX,DQN (exp_frac=0.5) - reward,DQN (exp_frac=0.5) - reward__MIN,DQN (exp_frac=0.5) - reward__MAX,DQN (exp_frac=0.1) - _step,DQN (exp_frac=0.1) - _step__MIN,DQN (exp_frac=0.1) - _step__MAX,DQN (exp_frac=0.1) - reward,DQN (exp_frac=0.1) - reward__MIN,DQN (exp_frac=0.1) - reward__MAX,HAP (ours) - _step,HAP (ours) - _step__MIN,HAP (ours) - _step__MAX,HAP (ours) - reward,HAP (ours) - reward__MIN,HAP (ours) - reward__MAX,SAC - _step,SAC - _step__MIN,SAC - _step__MAX,SAC - reward,SAC - reward__MIN,SAC - reward__MAX,A2C - _step,A2C - _step__MIN,A2C - _step__MAX,A2C - reward,A2C - reward__MIN,A2C - reward__MAX,TD3 - _step,TD3 - _step__MIN,TD3 - _step__MAX,TD3 - reward,TD3 - reward__MIN,TD3 - reward__MAX
1,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,1,1,1,0.087894505,0.087894505,0.087894505,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0.35,0.35,0.35
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,0.24,0.24,0.24
613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,0.17222223,0.17222223,0.17222223
621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,0.1875,0.1875,0.1875
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,0.15921053,0.15921053,0.15921053
681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,0.15729167,0.15729167,0.15729167
703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,27,0.129,0.129,0.129
709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,0.128,0.128,0.128
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,0.112,0.112,0.112
731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,0.112,0.112,0.112
748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,0.107,0.107,0.107
784,,,,,,,,,,,,,2,2,2,0.097457395,0.097457395,0.097457395,,,,,,,,,,,,,,,,,,
